"Adipose - Subcutaneous" "Adipose - Visceral (Omentum)" "Adrenal Gland" "Artery - Aorta" "Artery - Coronary" "Artery - Tibial" "Bladder" "Brain - Amygdala" "Brain - Anterior cingulate cortex (BA24)" "Brain - Caudate (basal ganglia)" "Brain - Cerebellar Hemisphere" "Brain - Cerebellum" "Brain - Cortex" "Brain - Frontal Cortex (BA9)" "Brain - Hippocampus" "Brain - Hypothalamus" "Brain - Nucleus accumbens (basal ganglia)" "Brain - Putamen (basal ganglia)" "Brain - Spinal cord (cervical c-1)" "Brain - Substantia nigra" "Breast - Mammary Tissue" "Cells - EBV-transformed lymphocytes" "Cells - Transformed fibroblasts" "Cervix - Ectocervix" "Cervix - Endocervix" "Colon - Sigmoid" "Colon - Transverse" "Esophagus - Gastroesophageal Junction" "Esophagus - Mucosa" "Esophagus - Muscularis" "Fallopian Tube" "Heart - Atrial Appendage" "Heart - Left Ventricle" "Kidney - Cortex" "Liver" "Lung" "Minor Salivary Gland" "Muscle - Skeletal" "Nerve - Tibial" "Ovary" "Pancreas" "Pituitary" "Prostate" "Skin - Not Sun Exposed (Suprapubic)" "Skin - Sun Exposed (Lower leg)" "Small Intestine - Terminal Ileum" "Spleen" "Stomach" "Testis" "Thyroid" "Uterus" "Vagina" "Whole Blood"
"Heart - Left Ventricle" 0.0796 0.3672 0.1266 0.151 0.0414 0.0648 0 0.0128 0.1784 0.0504 0.0242 0.0346 0.234 0.0094 0.162 0.1708 0.1142 0.029 0.1204 0.0994 0.0418 0.0022 0.0026 0 0 0.3164 0.013 0.2808 0.108 0.2398 0 0.8794 0 0.0208 0.3054 0.463 0.032 0.3256 0.1726 0.04 0.0136 0.0412 0.039 0.141 0.039 0.005 0.0292 0.0098 0.0336 0.2394 0.0626 0.0502 0.1894
"Kidney - Cortex" 0.0972 0.1502 0.333 0.0238 0.113 4e-04 0 0 0 0 0 6e-04 0 0 0 0 0.1098 0 0 0 0 0 0.01 0 0 0.0496 0.034 0.425 0.0314 0.0152 0 0.0116 0.0208 0 0.0564 0.1002 0 0.0158 0.0388 0 0.004 0.0552 0 0.0038 0.0112 0 0.454 0.0734 0.0032 0.2526 0 0 0.0018
"Liver" 0.034 0.1506 0.4396 0.4574 0.3312 0.0202 0 0.001 0.002 0.0016 0.0036 0.0202 0.0602 0.0034 0.0048 0.0098 0.0056 0.004 0.0032 0.0036 0.0146 0 0.007 0 0 0.038 0.2364 0.063 0.2428 0.1462 0 0.0394 0.3054 0.0564 0 0.1584 0.412 0.1474 0.0952 0.0252 0.0086 0.0136 0.2554 0.011 0.0102 0.0456 0.2514 0.0944 0.0984 0.0696 0.0294 0.232 0.0834
"Lung" 0.0592 0.2276 0.0966 0.18 0.3276 0.1462 0 0.0034 0.0018 0.005 0.0078 0 0.0156 0.0066 0.0064 0.005 0.0056 0.0508 0.0032 0.3194 0.2064 0.0054 0.0032 0 0 0.1084 0.0914 0.3508 0.1188 0.114 0 0.3324 0.463 0.1002 0.1584 0 0.2962 0.1718 0.3458 0.0228 0.0172 0.0084 0.166 0.1558 0.0518 0.0196 0.25 0.0442 0.0288 0.598 0.0176 0.014 0.1556
"Minor Salivary Gland" 0.3204 0.0596 0.237 0.0084 0.005 0.3276 0 0 0 0.1912 0 0.0046 0.3434 0.0454 0 0.0054 0.0734 0.0236 0 0 0.0566 0.0562 0.0018 0 0 0.5224 0.0778 0.0064 0.4462 0.0188 0 0.0136 0.032 0 0.412 0.2962 0 0.055 0.117 0.04 0.0022 0.1388 0.1132 0.023 0.0112 0.0034 0.0058 0.0048 0.1176 0.1 0 0.0014 0.003
"Muscle - Skeletal" 0.2496 0.1454 0.0054 0.0326 0.0222 0.575 0.0028 0.0198 0.0276 0.0332 0.0238 0 0.1386 0.0272 0.0218 0.1198 0.0258 0.0394 0.1052 0.1372 0.168 0.0026 0.0026 0 0 0.1164 0.0096 0.271 0.02 0.0678 0 0.2886 0.3256 0.0158 0.1474 0.1718 0.055 0 0.5024 0.0136 0.007 0.0626 0.0156 0.063 0.1062 0.0028 0.011 0.0056 0.0338 0.1614 0.024 0.0068 0.0632
"Nerve - Tibial" 0.5304 0.2122 0.005 0.094 0.2108 0.6548 0 0.0074 0.013 0.0134 0.0494 0.0556 0.0284 0.0124 0.0118 0.0272 0.228 0.1422 0.2376 0.1648 0.2284 0.0044 0.0034 0 0 0.2622 0.025 0.1376 0.0282 0.0466 0 0.2266 0.1726 0.0388 0.0952 0.3458 0.117 0.5024 0 0.0142 0.0214 0.028 0.0112 0.2002 0.1838 0.0204 0.0278 0.009 0.0168 0.2832 0.022 0.0426 0.0546
"Ovary" 0.047 0.0956 0.0678 0.4222 0.113 0.0136 0 0.0172 0.007 0.0116 0.014 0.0058 0.0054 0.176 0.2018 0.034 0.0016 0.2856 0 0.0058 0.0244 0.003 0.0034 0 0 0.2898 0.2156 0.2958 0.498 0.3684 0 0.1636 0.04 0 0.0252 0.0228 0.04 0.0136 0.0142 0 0.0148 0.0396 0 0.0468 0.0266 0.0344 0.012 0.306 0 0.0246 0.4608 0.2468 0.0192
"Pancreas" 0.01 0.0752 0.1644 0.3552 0.0206 0.0074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0096 0.0028 0.007 0 0 0.0276 0.0656 0.084 0.2232 0.2662 0 0.0144 0.0136 0.004 0.0086 0.0172 0.0022 0.007 0.0214 0.0148 0 0 0.0634 0.007 0.0032 0.0294 0.2218 0.4298 0.6508 0.0612 0.0402 0.004 0.0046
"Pituitary" 0.0256 0.0612 0 0.089 0.0032 0.0252 0 0.027 0.0116 0.0138 0.0104 0 0.0384 0.0136 0.0158 0.018 0.0124 0.0234 0.0096 0.0108 0.0118 0 0.0022 0 0 0.0258 0.008 0.0144 0.0096 0.0742 0 0.0288 0.0412 0.0552 0.0136 0.0084 0.1388 0.0626 0.028 0.0396 0 0 0.1142 0.0136 0.011 0 0 0.0048 0.0184 0.1024 0.38 0.0294 0.0074
